Day,Phase,Exercise,Sets,Reps,Rest_Seconds,Tempo,Notes_Substitutes,Equipment
Saturday,Pre-Workout Stretch,Sun Salutation Flow (Yoga),2,5 min,0,Flowing,"Full body dynamic stretch sequence - optional if doing main workout",Mat
Saturday,Pre-Workout Stretch,Hip 90/90 Transition,2,10 transitions,0,Controlled,Hip mobility in multiple planes,Mat
Saturday,Pre-Workout Stretch,Thoracic Bridge,2,8 reps,0,Controlled,Upper back extension and hip mobility,Mat
Saturday,Pre-Workout Stretch,Bretzel Stretch,2,30 sec each side,0,Hold,Full-body rotational mobility,Mat
Saturday,Pre-Workout Stretch,Wrist and Ankle Mobility,2,20 circles each,0,Smooth,Joint prep for lighter accessory work,Bodyweight
Saturday,Main Workout (Optional),Incline Walk or Bike,1,20-30 min,0,Conversational pace,Light cardio for blood flow and recovery,Treadmill/Bike
Saturday,Main Workout (Optional),TRX Face Pulls,3,15,45,Controlled,"Upper back health. SUB: Light Cable Face Pulls",TRX/Cable
Saturday,Main Workout (Optional),Banded Lateral Walks,3,20 steps each direction,30,Controlled,Glute medius activation - use light band,Resistance Band
Saturday,Main Workout (Optional),Glute Bridge (Bodyweight or Banded),3,20,45,2021,Glute activation and hip extension,Band/Bodyweight
Saturday,Main Workout (Optional),Dead Bug,3,12 each side,30,Slow,Core stability and coordination,Mat
Saturday,Main Workout (Optional),Banded Pull-Aparts,3,20,30,Controlled,Shoulder health and posture,Resistance Band
Saturday,Main Workout (Optional),Calf Raises (Bodyweight),3,25,30,2012,Light calf work for recovery,Bodyweight/Step
Saturday,Main Workout (Optional),Wall Slides,3,12,30,Slow,Scapular control and shoulder mobility,Wall
Saturday,Bonus (Optional),Yoga Flexibility Sequence,1,15-20 min,0,Hold and flow,"Deep stretches: Pigeon, Lizard, Half Split, Seated Forward Fold, Supine Twist",Mat
Saturday,Bonus (Optional),Foam Roll Targeted Areas,1,10-15 min,0,Slow,"Focus on sore areas from week - IT band, glutes, lats, thoracic spine",Foam Roller
Saturday,Bonus (Optional),Lacrosse Ball Foot Release,1,3 min each foot,0,Pressure,Plantar fascia mobility for golf stance,Lacrosse Ball
Saturday,Bonus (Optional),Couch Stretch,1,90 sec each side,0,Hold,Deep hip flexor stretch,Couch/Bench
Saturday,Bonus (Optional),Weighted Hang (Decompression),1,60-90 sec,0,Passive,"Spinal decompression and grip. SUB: Active Hang with scapular engagement",Pull-up Bar
